elo1, elo2, res
1827,2071,0-1
2009,1888,0-1
1992,1840,1-0
1988,1623,1-0
2028,1823,1-0
2053,1736,0-1
1693,2008,0-1
1714,1978,0-1
1671,1909,1/2-1/2
1896,1734,0-1
1652,1894,1/2-1/2
1878,1731,1-0
1856,1557,1-0
1811,1542,1-0
1792,1354,1-0
1903,1479,0-1
1575,1817,0-1
1613,1759,1-0
1519,1759,1/2-1/2
1393,1747,0-1
1783,1449,1-0
1750,1331,1-0
1197,1370,0-1
2678,2684,1/2-1/2
2637,2722,1/2-1/2
2501,2709,1/2-1/2
2631,2644,1-0
2441,2709,0-1
2688,2530,1/2-1/2
2644,2496,1-0
2432,2622,1-0
2602,2473,1-0
2715,2486,1-0
2280,2416,1/2-1/2
2509,2710,0-1
2498,2675,1/2-1/2
2622,2466,1-0
2478,2609,0-1
2569,2431,1-0
2468,2568,1/2-1/2
2566,2439,1/2-1/2
2430,2566,1/2-1/2
2565,2414,1/2-1/2
2435,2563,0-1
2411,2533,1/2-1/2
2531,2419,1-0
2643,2263,1/2-1/2
2603,2375,1-0
2556,2362,1/2-1/2
2335,2507,0-1
2485,2279,0-1
2313,2472,0-1
2462,2297,1-0
2307,2460,1-0
2407,2125,1/2-1/2
2226,2405,0-1
2421,2124,1-0
2411,2257,1/2-1/2
2407,2236,1-0
2223,2386,0-1
2375,2235,1-0
2369,2212,0-1
2169,2369,1/2-1/2
2131,2350,1-0
2046,2329,0-1
2044,2314,1/2-1/2
2312,2090,1-0
2302,2050,1/2-1/2
2284,2041,1-0
2274,1997,1/2-1/2
2260,1766,0-1
1960,2260,0-1
2364,2071,1-0
2071,2359,0-1
1990,2281,1-0
2271,2059,1-0
1990,2269,1-0
2235,1992,1-0
2211,1988,1/2-1/2
2204,1985,0-1
2204,1985,0-1
1985,2197,0-1
1980,2180,0-1
1903,2180,0-1
1936,2148,0-1
1903,2141,0-1
2136,1953,1-0
2135,1961,1/2-1/2
2133,1871,1-0
1888,2075,1/2-1/2
2075,1935,1/2-1/2
2125,1878,1-0
1872,2078,1/2-1/2
2072,1909,1-0
1853,2028,1/2-1/2
2008,1856,1-0
1991,1811,0-1
1978,1792,1/2-1/2
1736,1957,1/2-1/2
1734,1910,0-1
1827,2009,0-1
1823,1969,0-1
1623,1953,0-1
1949,1817,0-1
1613,1909,0-1
1908,1671,1-0
2706,2056,1-0
2687,2051,1-0
2657,2048,1-0
2646,2044,1-0
2631,2038,1-0
2033,2623,0-1
2603,2027,1-0
2027,2600,0-1
2022,2587,0-1
2011,2541,0-1
2528,2008,1-0
2506,2007,1-0
2005,2503,0-1
2501,2004,1-0
1994,2487,0-1
1980,2460,0-1
2456,1967,1-0
1967,2456,0-1
1963,2444,0-1
2441,1961,1-0
1958,2439,0-1
2435,1953,1-0
1953,2430,0-1
1927,2395,0-1
2382,1901,1-0
1897,2376,0-1
2362,1895,1-0
1886,2359,0-1
2317,1865,1-0
2314,1854,1-0
1853,2308,0-1
1844,2303,0-1
1829,2294,0-1
2290,1822,1/2-1/2
1812,2285,0-1
2269,1802,1-0
2249,1738,1-0
1737,2248,0-1
2244,1736,1-0
1710,2237,1/2-1/2
